time_span,x,y,z,vx,vy,vz
2460288.500000000,  4.900767661729027E+07,  1.312027370205278E+07, -3.453691470261387E+06, -2.333332295099586E+01,  4.904289047042109E+01,  6.227543020941837E+00
2460289.500000000,  4.681105241545687E+07,  1.728384442821363E+07, -2.904223524091116E+06, -2.749725973772765E+01,  4.726944314817222E+01,  6.483685453475474E+00
2460290.500000000,  4.425969006087598E+07,  2.127699710263699E+07, -2.334743445198528E+06, -3.153825562169651E+01,  4.509900340375371E+01,  6.690095494567112E+00
2460291.500000000,  4.136593492268226E+07,  2.506573159414455E+07, -1.749719078138199E+06, -3.541626195482829E+01,  4.253908300486189E+01,  6.842913353674518E+00
2460292.500000000,  3.814563606049550E+07,  2.861685387198832E+07, -1.153925220903514E+06, -3.909020463244876E+01,  3.960095652831154E+01,  6.938908129176486E+00
2460293.500000000,  3.461823451052258E+07,  3.189833746975616E+07, -5.523850857858229E+05, -4.251805621651607E+01,  3.630053900216316E+01,  6.975579608215835E+00
2460294.500000000,  3.080682669743305E+07,  3.487976768073919E+07,  4.969815772327222E+04, -4.565735852553875E+01,  3.265939287423969E+01,  6.951285191083462E+00
2460295.500000000,  2.673816027097068E+07,  3.753287091091666E+07,  6.470215575188529E+05, -4.846626908284013E+01,  2.870565305310328E+01,  6.865381609280643E+00
2460296.500000000,  2.244251741121258E+07,  3.983211163992948E+07,  1.234274732695060E+06, -5.090510585693997E+01,  2.447462581465946E+01,  6.718360956226503E+00
2460297.500000000,  1.795344779209099E+07,  4.175531864361528E+07,  1.806242736984013E+06, -5.293824970970368E+01,  2.000883362855091E+01,  6.511952837074923E+00
2460298.500000000,  1.330733025159742E+07,  4.328428519929118E+07,  2.357915177960133E+06, -5.453615912087140E+01,  1.535735131740691E+01,  6.249162127621568E+00
2460299.500000000,  8.542766595902553E+06,  4.440527965649755E+07,  2.884594867531728E+06, -5.567718744593370E+01,  1.057440177444572E+01,  5.934216992648999E+00
2460300.500000000,  3.699838219893537E+06,  4.510940632082137E+07,  3.381997591396371E+06, -5.634889369690946E+01,  5.717326741935827E+00,  5.572414594840748E+00
2460301.500000000, -1.180719762869966E+06,  4.539277262796555E+07,  3.846334255641025E+06, -5.654861179458749E+01,  8.441827504727242E-01,  5.169870000305755E+00
2460302.500000000, -6.058357308080547E+06,  4.525644430973724E+07,  4.274367976749014E+06, -5.628317647183965E+01, -3.988703432225435E+00,  4.733192779693819E+00
2460303.500000000, -1.089348961317858E+07,  4.470620012531427E+07,  4.663441486245960E+06, -5.556786313110065E+01, -8.728876128154393E+00,  4.269130655043340E+00
2460304.500000000, -1.564815853968534E+07,  4.375212501430614E+07,  5.011473979842361E+06, -5.442474219199189E+01, -1.332931271491259E+01,  3.784226281938584E+00
2460305.500000000, -2.028653690398306E+07,  4.240809933033501E+07,  5.316930466616733E+06, -5.288074021356762E+01, -1.774925380888006E+01,  3.284530373294481E+00
2460306.500000000, -2.477526398776405E+07,  4.069124874400334E+07,  5.578769972323658E+06, -5.096572239976751E+01, -2.195429397046813E+01,  2.775403162521041E+00
2460307.500000000, -2.908362633055479E+07,  3.862141425836080E+07,  5.796381038154377E+06, -4.871086730985136E+01, -2.591585453514817E+01,  2.261420038884241E+00
